id,name,detail,price,img_src,category1,category2
1,"Kingston Fury Beast, 2x8 GB, 3200 MHz, DDR4","pamäť RAM pre PC, 2 x 8 GB, DDR4 (PC4), 3200 Mhz (PC4-25600), CL16, Intel XMP, 1,35 V, herná, pasívny chladič",133.41,https://img.datacomp.sk/kingston-fury-beast-2x8-gb-3200-mhz-ddr4_igb423797.jpg,DDR4,2x8 GB
2,"Kingston FURY Beast, 2x32GB, 5600MHz, DDR5","pamäť RAM pre PC, 2 x 32 GB, DDR5 (PC5), 5600 Mhz (PC5-44800), CL40, Intel XMP, 1,25 V, herná, pasívny chladič",730.8,https://img.datacomp.sk/kingston-fury-beast-2x32gb-5600mhz-ddr5_igb437842.jpg,DDR5,2x32 GB
3,"Kingston Fury Impact, 16GB, 3200 MHz, DDR4, SO-DIMM","pamäť RAM pre notebooky, 1 x 16 GB, SO-DIMM DDR4 (PC4), 3200 Mhz (PC4-25600), CL20, Intel XMP, 1,2 V, herná",108.65,https://img.datacomp.sk/kingston-fury-impact-16gb-3200-mhz-ddr4-so-dimm_igb460359.jpg,DDR4,16 GB
4,G.SKILL 32GB kit DDR5 7200 CL34 Trident Z5 RGB,"pamäť RAM pre PC, 2 x 16 GB, DDR5 (PC5), 7200 Mhz (PC5-57600), CL34, Intel XMP, AMD EXPO, 1,4 V, RGB podsvietenie",589.6,https://img.datacomp.sk/g-skill-32gb-kit-ddr5-7200-cl34-trident-z5-rgb_igb463988.jpg,DDR5,2x16 GB
5,"Kingston FURY Beast Black EXPO, 2x16GB, 6400MHz, DDR5","pamäť RAM pre PC, 2 x 16 GB, DDR5 (PC5), 6400 Mhz (PC5-51200), CL32, AMD EXPO, 1,4 V, herná, pasívny chladič",401.69,https://img.datacomp.sk/kingston-fury-beast-black-expo-2x16gb-6400mhz-ddr5_igb486514.jpg,DDR5,2x16 GB
6,"Kingston SO-DIMM 1x 8 GB DDR4, 3200 MHz","pamäť RAM pre notebooky, 1 x 8 GB, 3200 Mhz (PC4-25600), CL22, 1,2 V",61.09,https://img.datacomp.sk/kingston-so-dimm-1x-8-gb-ddr4-3200-mhz_igb460155.jpg,DDR4,8 GB
7,"Kingston FURY Beast Black EXPO, 16GB, 6400MHz","pamäť RAM pre PC, 1 x 16 GB, DDR5 (PC5), 6400 Mhz (PC5-51200), CL32, AMD EXPO, 1,4 V, herná, pasívny chladič",206.65,https://img.datacomp.sk/kingston-fury-beast-black-expo-16gb-6400mhz-ddr5_igb486467.jpg,DDR5,16 GB
8,"Kingston Fury Impact, 8GB, 3200 MHz, DDR4, SO-DIMM","pamäť RAM pre notebooky, 1 x 8 GB, SO-DIMM DDR4 (PC4), 3200 Mhz (PC4-25600), CL20, Intel XMP, 1,2 V, herná",61.25,https://img.datacomp.sk/kingston-fury-impact-8gb-3200-mhz-ddr4-so-dimm_igb424174.jpg,DDR4,8 GB
9,Crucial 16GB DDR5-5600 UDIMM,"pamäť RAM pre PC, 1 x 16 GB, DDR5 (PC5), 5600 Mhz (PC5-44800), CL46, 1,1 V",161.11,https://img.datacomp.sk/crucial-16gb-ddr5-5600-udimm_igb460320.jpg,DDR5,16 GB
10,"Kingston SO-DIMM 1x 16 GB DDR4, 3200 MHz","pamäť RAM pre notebooky, 1 x 16 GB, 3200 Mhz (PC4-25600), CL22, 1,2 V",109.25,https://img.datacomp.sk/kingston-so-dimm-1x-16-gb-ddr4-3200-mhz_igb414452.jpg,DDR4,16 GB
11,"Kingston Fury Beast, 2x16 GB, 3200 MHz, DDR4","pamäť RAM pre PC, 2 x 16 GB, 3200 Mhz (PC4-25600), CL16, s chladičom",220.8,https://img.datacomp.sk/kingston-fury-beast-2x16-gb-3200-mhz-ddr4_igb423813.jpg,DDR4,2x16 GB
12,"Kingston FURY Beast, 2x16GB, 3200 MHz, DDR4","pamäť RAM pre PC, 2 x 16 GB, 3200 Mhz (PC4-25600), CL16, s chladičom",220.8,https://img.datacomp.sk/kingston-fury-beast-2x16gb-3200-mhz-ddr4_igb423812.jpg,DDR4,2x16 GB
13,"Kingston FURY Renegade, 32GB, 3600 MHz, DDR4","pamäť RAM pre PC, 1 x 32 GB, DDR4 (PC4), 3600 Mhz (PC4-28800), CL18, Intel XMP, 1,35 V, herná, pasívny chladič",288.9,https://img.datacomp.sk/kingston-fury-renegade-32gb-3600-mhz-ddr4_igb470925.jpg,DDR4,32 GB
14,2-Power 4GB PC3-10600U 1333MHz DDR3 CL9 Non-ECC DIMM 2Rx8,"pamäť RAM pre PC, 4 GB , 1333 Mhz (PC3-10600), CL 9, s chladičom",12.55,https://img.datacomp.sk/2-power-4gb-pc3-10600u-1333mhz-ddr3-cl9-non-ecc-dimm-2rx8_igb449566.jpg,DDR3,4 GB
15,"Crucial SO-DIMM 16GB, 3200MHz, DDR4","pamäť RAM pre notebooky, 16 GB, 3200 Mhz (PC4-25600), CL22",127,https://img.datacomp.sk/crucial-so-dimm-16gb-3200mhz-ddr4_igb413137.jpg,DDR4,16 GB
16,"Patriot Viper Steel RGB, 32 GB 3200 MHz, DDR4","pamäť RAM pre PC, 2 x 16 GB, DDR4 (PC4), 3200 Mhz (PC4-25600), CL16, Intel XMP, 1,35 V, RGB podsvietenie, herná",225.2,https://img.datacomp.sk/patriot-viper-steel-rgb-32-gb-3200-mhz-ddr4_igb454808.jpg,DDR4,2x16 GB
